day,cola_300ml,cola_600ml,guazi,haipai_hainorim,haipiao_haibo,redbull,haixiangcuilan,luosifen_335g,qiaqia_oatmeal,spicy_chicken_noodle,TeLunSuMilk,wangzai_milk,xiangbage_honey_chicken_wings
2020/5/23,4.0,0.0,2.0,0.0,0.0,13.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0
2020/5/24,2.0,0.0,3.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020/5/25,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0
2020/5/26,2.0,1.0,5.0,1.0,1.0,2.0,6.0,0.0,1.0,2.0,5.0,1.0,7.0
2020/5/27,2.0,0.0,1.0,2.0,4.0,1.0,5.0,2.0,0.0,0.0,0.0,7.0,0.0
2020/5/28,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2020/5/29,0.0,2.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,1.0,5.0,4.0,0.0
2020/5/30,1.0,0.0,0.0,3.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020/5/31,0.0,2.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,1.0,5.0,6.0,0.0
2020/6/1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
2020/6/2,1.0,1.0,1.0,1.0,1.0,4.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0
2020/6/3,0.0,2.0,0.0,5.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/6/4,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
2020/6/5,1.0,0.0,1.0,0.0,1.0,12.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0
2020/6/6,2.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0
